name,spawn_l,spawn_r,spawn_hugewave_l,spawn_hugewave_r,movement_type,movement_args,speed_l,speed_r,freeze_immune,chill_immune,defx_l,defx_r,defy_l,defy_r,atk_l,atk_r,hp,summon_weight_normal,summon_weight_hugewave,on_ground,in_pool,in_pool_wave1to5
Regular,780,819,820,859,regular,"-9.8,-8.5,-7.3,-6,-4.7,-3.4,-2.1,-0.9,0.3,1.6,2.8,4.1,5.4,6.7,8,9.2,10.5,10.6,10.7,10.7,10.8,10.8,10.9,11,12.8,14.5,16.3,18.1,19.9,21.6,23.4,25.2,27,28.8,30.5,32.3,34,35.9,37.6,39.4,39.5,39.5,39.6,39.8,39.9,39.9,40;-9.8,-8.4,-7,-5.6,-4.1,-2.7,-1.3,0,1.4,2.8,4.2,5.7,7.1,7.9,8.8,9.7,10.5,10.6,10.8,10.9,11,11,11,11,11,13.4,15.8,18.1,20.5,22.8,25.2,27.6,29.9,31.1,32.3,33.5,34.6,35.9,37,38.2,39.4,39.5,39.6,39.7,39.8,39.9,40",0.23,0.37,false,false,36,78,0,115,20,40,270,400,400,true,true,false
DCFast,780,819,820,859,dancecheat,,59643/332000,59643/332000,false,false,36,78,0,115,20,40,270,0,0,true,true,false
DCSlow,780,819,820,859,dancecheat,,47/380,47/380,false,false,36,78,0,115,20,40,270,0,0,true,true,false
Flag,800,800,800,800,animation,"-9.8,-8.5,-7.3,-6,-4.7,-3.4,-2.1,-0.9,0.3,1.6,2.8,4.1,5.4,6.7,8,9.2,10.5,10.6,10.7,10.7,10.8,10.8,10.9,11,12.8,14.5,16.3,18.1,19.9,21.6,23.4,25.2,27,28.8,30.5,32.3,34,35.9,37.6,39.4,39.5,39.5,39.6,39.8,39.9,39.9,40",0.45,0.45,false,false,36,78,0,115,20,40,270,0,0,true,false,false
Conehead,780,819,820,859,regular,"-9.8,-8.5,-7.3,-6,-4.7,-3.4,-2.1,-0.9,0.3,1.6,2.8,4.1,5.4,6.7,8,9.2,10.5,10.6,10.7,10.7,10.8,10.8,10.9,11,12.8,14.5,16.3,18.1,19.9,21.6,23.4,25.2,27,28.8,30.5,32.3,34,35.9,37.6,39.4,39.5,39.5,39.6,39.8,39.9,39.9,40;-9.8,-8.4,-7,-5.6,-4.1,-2.7,-1.3,0,1.4,2.8,4.2,5.7,7.1,7.9,8.8,9.7,10.5,10.6,10.8,10.9,11,11,11,11,11,13.4,15.8,18.1,20.5,22.8,25.2,27.6,29.9,31.1,32.3,33.5,34.6,35.9,37,38.2,39.4,39.5,39.6,39.7,39.8,39.9,40",0.23,0.37,false,false,36,78,0,115,20,40,640,1000,1000,true,true,false
PoleVaulting,870,879,870,879,animation,"-59.8,-59,-58.2,-57.3,-56.5,-55.7,-54.8,-54,-53.2,-52.3,-51.5,-50.7,-49.8,-49,-48.2,-47.3,-46.5,-45.7,-44.8,-44,-43.2,-42.3,-41.5,-40.7,-39.8,-39,-38.2,-37.3,-36.5,-35.7,-34.8,-34,-33.2,-32.3,-31.5,-30.7,-29.8",0.66,0.68,false,false,36,78,0,115,-29,-58,500,2000,2000,true,false,false
Buckethead,780,819,820,859,regular,"-9.8,-8.5,-7.3,-6,-4.7,-3.4,-2.1,-0.9,0.3,1.6,2.8,4.1,5.4,6.7,8,9.2,10.5,10.6,10.7,10.7,10.8,10.8,10.9,11,12.8,14.5,16.3,18.1,19.9,21.6,23.4,25.2,27,28.8,30.5,32.3,34,35.9,37.6,39.4,39.5,39.5,39.6,39.8,39.9,39.9,40;-9.8,-8.4,-7,-5.6,-4.1,-2.7,-1.3,0,1.4,2.8,4.2,5.7,7.1,7.9,8.8,9.7,10.5,10.6,10.8,10.9,11,11,11,11,11,13.4,15.8,18.1,20.5,22.8,25.2,27.6,29.9,31.1,32.3,33.5,34.6,35.9,37,38.2,39.4,39.5,39.6,39.7,39.8,39.9,40",0.23,0.37,false,false,36,78,0,115,20,40,1370,3000,3000,true,true,false
Newspaper,780,819,820,859,animation,"-59.8,-59.3,-58.8,-58.3,-57.8,-54.8,-51.8,-48.9,-45.9,-43.8,-41.6,-39.4,-37.3,-35.1,-33.8,-32.5,-31.2,-29.8,-28.5,-28.5,-28.5,-28.6,-28.6,-27.6,-26.6,-25.7,-24.7,-23.7,-21.6,-19.4,-17.2,-15.1,-12.9,-11.3,-9.7,-8.1,-6.5,-4.9,-4.2,-3.5,-2.7,-2,-2,-2,-2,-2,-2",0.23,0.37,false,false,36,78,0,115,20,40,300,1000,1000,true,false,false
ScreenDoor,780,819,820,859,animation,"-9.8,-8.5,-7.3,-6,-4.7,-3.4,-2.1,-0.9,0.3,1.6,2.8,4.1,5.4,6.7,8,9.2,10.5,10.6,10.7,10.7,10.8,10.8,10.9,11,12.8,14.5,16.3,18.1,19.9,21.6,23.4,25.2,27,28.8,30.5,32.3,34,35.9,37.6,39.4,39.5,39.5,39.6,39.8,39.9,39.9,40",0.23,0.37,false,false,36,78,0,115,20,40,490,3500,3500,true,false,false
Football,780,819,820,859,animation,"-59.8,-57.4,-55,-52.6,-50.2,-47.8,-47.5,-47.3,-47,-46.7,-46.4,-46.1,-45.8,-44.3,-42.8,-41.3,-39.8,-38.3,-36.8,-35.3,-33.8,-33.5,-33.3,-33,-32.7,-32.4,-32.1,-31.8,-30.8,-29.8",0.66,0.68,false,false,50,107,0,115,50,100,1670,2000,2000,true,false,false
